outcome,n_ai,n_other,median_ai,median_other,statistic,p_value,effect,effect_name
success,1545,1545,0.511326860841424,0.6809061488673139,91.56621930593836,1.0791966599968352e-21,0.4903558028857049,odds_ratio
pledged_usd,1545,1545,1010.0,3060.80235864,908533.0,1.4215454447797756e-30,-0.2387737874550958,cliffs_delta
pct_funded,1545,1545,1.0075,1.3777777777777778,1007943.0,7.197753321412163e-14,-0.15548182360888552,cliffs_delta
backers,1545,1545,16.0,48.0,915473.5,3.3496338661383544e-29,-0.2329585990930133,cliffs_delta
goal_usd,1545,1545,4151.49208,4000.0,1189748.0,0.8793346763339722,-0.003154135377719136,cliffs_delta
