outcome,n_ai,n_other,median_ai,median_other,statistic,p_value,effect,effect_name,bh_reject_05
success,1565,10458,0.5092651757188499,0.7103652706062344,253.85352071610768,3.7528616905891286e-57,0.4231223989881994,odds_ratio,True
pledged_usd,1565,10458,1005.75402984,2819.0,6353156.5,2.443934288054485e-46,-0.22365176513142182,cliffs_delta,True
pct_funded,1565,10458,1.0017777777777779,1.2565178571428572,6987964.5,1.0092892537561679e-20,-0.14607897587611973,cliffs_delta,True
backers,1565,10458,16.0,44.0,6387667.0,1.0988457503270096e-44,-0.21943462271419467,cliffs_delta,True
goal_usd,1565,10458,4339.697984,3000.0,8716068.5,3.179516356975256e-05,0.06509329574497591,cliffs_delta,True
