label,n,success_rate,median_pledged_usd,median_pct_funded,median_backers
images,1023,0.6089931573802542,1410.88581788,1.26,26.0
text,481,0.5135135135135135,921.0,1.0088,16.0
audio_video,299,0.45819397993311034,907.0,0.35050000000000003,13.0
functional_product,281,0.3167259786476868,325.76164516,0.027647058823529413,6.0
unclassified,180,0.2777777777777778,219.581384185,0.020000000000000004,4.0
language_translation,133,0.6090225563909775,2049.0,1.3041714947856313,27.0
